Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,30/09/95,Karlsruhe,Hansa Rostock,0,2,A,0,0,D,,,,,,,,,,,
D1,30/09/95,Leverkusen,Werder Bremen,2,2,D,1,1,D,,,,,,,,,,,
D1,30/09/95,Munich 1860,Dusseldorf,2,1,H,1,1,D,,,,,,,,,,,
D1,01/10/95,Dortmund,Bayern Munich,3,1,H,1,0,H,,,,,,,,,,,
D1,01/10/95,M'gladbach,Ein Frankfurt,4,1,H,2,1,H,,,,,,,,,,,
D1,13/10/95,Hansa Rostock,Stuttgart,3,3,D,2,1,H,,,,,,,,,,,
D1,13/10/95,Schalke 04,Kaiserslautern,1,1,D,0,1,A,,,,,,,,,,,
D1,14/10/95,Bayern Munich,M'gladbach,1,2,A,0,1,A,,,,,,,,,,,
D1,14/10/95,Dusseldorf,Freiburg,0,0,D,0,0,D,,,,,,,,,,,
D1,14/10/95,Ein Frankfurt,St Pauli,2,2,D,0,0,D,,,,,,,,,,,
D1,14/10/95,Hamburg,Munich 1860,2,2,D,0,0,D,,,,,,,,,,,
D1,14/10/95,Karlsruhe,Uerdingen,2,0,H,0,0,D,,,,,,,,,,,
D1,14/10/95,Werder Bremen,Dortmund,2,2,D,1,1,D,,,,,,,,,,,
D1,15/10/95,FC Koln,Leverkusen,2,2,D,1,2,A,,,,,,,,,,,
D1,20/10/95,Leverkusen,Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,20/10/95,Uerdingen,Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,21/10/95,Dortmund,FC Koln,3,0,H,0,0,D,,,,,,,,,,,
D1,21/10/95,Freiburg,Hamburg,0,3,A,0,2,A,,,,,,,,,,,
D1,21/10/95,Kaiserslautern,Dusseldorf,2,0,H,1,0,H,,,,,,,,,,,
D1,21/10/95,Munich 1860,Karlsruhe,1,1,D,0,0,D,,,,,,,,,,,
D1,21/10/95,St Pauli,Bayern Munich,0,1,A,0,1,A,,,,,,,,,,,
D1,21/10/95,Stuttgart,Ein Frankfurt,3,2,H,1,1,D,,,,,,,,,,,
D1,22/10/95,M'gladbach,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,27/10/95,FC Koln,M'gladbach,0,2,A,0,1,A,,,,,,,,,,,
D1,27/10/95,Karlsruhe,Freiburg,1,1,D,1,0,H,,,,,,,,,,,
D1,28/10/95,Bayern Munich,Stuttgart,5,3,H,1,0,H,,,,,,,,,,,
D1,28/10/95,Dusseldorf,Leverkusen,1,1,D,0,1,A,,,,,,,,,,,
D1,28/10/95,Hamburg,Kaiserslautern,1,0,H,1,0,H,,,,,,,,,,,
